customer_id,age,gender,city,account_age_days,total_orders,total_items_sold,total_items_bought,avg_order_value,total_spend,total_earnings,preferred_category,payment_method,return_rate_percent,last_purchase_days_ago,seller_rating_avg,buyer_rating_avg,is_active_user,avg_delivery_days,discount_usage_percent
CUST200000,22.0,Other,Chennai,1607,36,199,235,6554.68,119220.48,317832.03,Furniture,Wallet,3.64,21,2.94,3.14,1,3.0,47.78
CUST200001,43.0,Other,Hyderabad,259,34,53,182,16574.06,553373.86,137265.06,Sports,COD,33.54,73,3.25,2.22,1,4.0,14.02
CUST200002,,Other,Hyderabad,1111,141,248,61,14378.53,,206200.0,,Wallet,37.4,257,2.81,3.61,1,1.0,55.54
CUST200003,37.0,Other,Kolkata,1869,110,194,349,19386.89,85615.65,86447.9,Automobile,Debit Card,13.53,52,3.82,2.3,1,7.0,17.35
CUST200004,41.0,Other,,2607,136,243,98,14853.6,700671.16,378772.75,Sports,,43.98,243,4.49,2.73,1,6.0,43.15
CUST200005,57.0,Female,Delhi,2553,129,251,135,9394.97,457752.42,258868.02,Fashion,Credit Card,10.13,46,2.42,2.24,1,2.0,34.32
CUST200006,46.0,Male,Bangalore,2291,120,121,274,8221.72,471520.16,182691.28,Electronics,UPI,23.93,2,2.75,4.77,1,9.0,5.81
CUST200007,32.0,Other,Kolkata,2571,114,53,291,7258.54,121822.85,392509.33,Home Decor,UPI,39.95,282,3.82,4.19,0,4.0,37.59
CUST200008,41.0,,Ahmedabad,1813,117,18,71,5315.94,299919.89,88329.27,Home Decor,COD,3.84,231,2.8,4.49,1,9.0,49.55
CUST200009,26.0,Male,Mumbai,2055,34,83,246,14345.56,615511.81,138981.3,Electronics,UPI,40.86,60,2.66,3.36,1,9.0,1.99
CUST200010,43.0,Other,Ahmedabad,776,132,239,314,19596.8,776807.87,79309.64,,Debit Card,7.64,244,2.25,4.08,1,10.0,55.42
CUST200011,64.0,Male,Hyderabad,2458,110,190,34,8681.54,768778.92,461738.14,Furniture,Credit Card,0.76,246,2.42,3.47,1,11.0,2.54
CUST200012,60.0,Female,Pune,2344,44,3,77,18826.58,735148.32,297696.08,,UPI,16.8,99,,3.89,1,7.0,16.23
CUST200013,44.0,,Mumbai,2028,48,295,184,4491.43,,87358.25,Books,UPI,12.96,332,4.37,4.75,0,10.0,8.97
CUST200014,26.0,Male,Bangalore,1058,134,44,43,19074.99,520043.6,453813.44,Books,Wallet,38.26,60,3.71,4.5,0,9.0,42.81
CUST200015,57.0,Male,Bangalore,1354,39,194,185,2820.22,551324.79,262343.12,Sports,UPI,26.73,69,4.65,3.19,1,8.0,49.45
CUST200016,56.0,Female,Hyderabad,2096,122,251,135,10640.43,403895.61,166930.72,Sports,COD,1.27,140,3.56,2.49,1,10.0,58.42
CUST200017,22.0,Other,Kolkata,2491,81,165,356,16798.46,594212.15,253956.23,Home Decor,Debit Card,15.81,129,4.23,2.37,1,11.0,43.32
CUST200018,25.0,Male,Bangalore,669,50,120,380,13097.24,797338.05,398934.98,Furniture,Debit Card,24.81,260,2.6,3.14,1,7.0,55.69
CUST200019,62.0,Male,Pune,2324,78,259,308,8830.87,21896.52,269576.12,Electronics,Debit Card,8.58,345,2.82,2.05,0,9.0,18.08
CUST200020,18.0,Female,Hyderabad,2407,133,163,236,15250.91,,422996.66,Home Decor,Debit Card,36.22,289,,3.62,1,5.0,4.52
